Strike,Bid,Midpoint,Ask,IV,Delta
22.5,0.2,2.55,4.9,1.4782,-0.08978
25.0,0.0,1.4,1.4,0.8734999999999999,-0.05533
30.0,1.1,1.3,1.5,0.8117,-0.09911
35.0,2.2,2.48,2.75,0.7963,-0.16764
40.0,3.7,4.0,4.3,0.7662,-0.24867
45.0,5.8,6.1,6.4,0.7486,-0.3413
50.0,8.5,8.8,9.1,0.7423000000000001,-0.43637
55.0,11.6,12.0,12.4,0.7409,-0.52615
60.0,15.1,15.55,16.0,0.7368000000000001,-0.60838
65.0,19.1,19.55,20.0,0.7465,-0.67503
70.0,23.1,24.2,25.3,0.8012,-0.71043
75.0,27.0,28.45,29.9,0.7975,-0.7614
80.0,30.4,32.5,34.6,0.7459,-0.82692
85.0,36.1,37.6,39.1,0.8218000000000001,-0.82716
90.0,40.0,42.15,44.3,0.8105,-0.86128
95.0,45.5,47.2,48.9,0.871,-0.86125
100.0,50.3,52.0,53.7,0.8862000000000001,-0.87702
